,0,1,2
10521,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,Homo sapiens
10522,R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,Homo sapiens
10523,R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2,Homo sapiens
10524,R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,Homo sapiens
10525,R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,Homo sapiens
10526,R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,Homo sapiens
10527,R-HSA-388841,Costimulation by the CD28 family,Homo sapiens
10528,R-HSA-71288,Creatine metabolism,Homo sapiens
10529,R-HSA-166786,Creation of C4 and C2 activators,Homo sapiens
10530,R-HSA-8949613,Cristae formation,Homo sapiens
10531,R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),Homo sapiens
10532,R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),Homo sapiens
10533,R-HSA-2243919,Crosslinking of collagen fibrils,Homo sapiens
10534,R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,Homo sapiens
10535,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,Homo sapiens
10536,R-HSA-69231,Cyclin D associated events in G1,Homo sapiens
10537,R-HSA-69202,Cyclin E associated events during G1/S transition ,Homo sapiens
10538,R-HSA-1614603,Cysteine formation from homocysteine,Homo sapiens
10539,R-HSA-211897,Cytochrome P450 - arranged by substrate type,Homo sapiens
10540,R-HSA-111461,Cytochrome c-mediated apoptotic response,Homo sapiens
10541,R-HSA-1280215,Cytokine Signaling in Immune system,Homo sapiens
10542,R-HSA-2564830,Cytosolic iron-sulfur cluster assembly,Homo sapiens
10543,R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA ,Homo sapiens
10544,R-HSA-156584,Cytosolic sulfonation of small molecules,Homo sapiens
10545,R-HSA-379716,Cytosolic tRNA aminoacylation,Homo sapiens
10546,R-HSA-1489509,DAG and IP3 signaling,Homo sapiens
10547,R-HSA-2172127,DAP12 interactions,Homo sapiens
10548,R-HSA-2424491,DAP12 signaling,Homo sapiens
10549,R-HSA-180024,DARPP-32 events,Homo sapiens
10550,R-HSA-418885,DCC mediated attractive signaling,Homo sapiens
10551,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Homo sapiens
10552,R-HSA-3134963,DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,Homo sapiens
10553,R-HSA-73893,DNA Damage Bypass,Homo sapiens
10554,R-HSA-5696394,DNA Damage Recognition in GG-NER,Homo sapiens
10555,R-HSA-73942,DNA Damage Reversal,Homo sapiens
10556,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,Homo sapiens
10557,R-HSA-5693606,DNA Double Strand Break Response,Homo sapiens
10558,R-HSA-5693532,DNA Double-Strand Break Repair,Homo sapiens
10559,R-HSA-73894,DNA Repair,Homo sapiens
10560,R-HSA-69306,DNA Replication,Homo sapiens
10561,R-HSA-69002,DNA Replication Pre-Initiation,Homo sapiens
10562,R-HSA-5334118,DNA methylation,Homo sapiens
10563,R-HSA-68952,DNA replication initiation,Homo sapiens
10564,R-HSA-69190,DNA strand elongation,Homo sapiens
10565,R-HSA-376172,DSCAM interactions,Homo sapiens
10566,R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,Homo sapiens
10567,R-HSA-429947,Deadenylation of mRNA,Homo sapiens
10568,R-HSA-429914,Deadenylation-dependent mRNA decay,Homo sapiens
10569,R-HSA-73887,Death Receptor Signalling,Homo sapiens
10570,R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,Homo sapiens
10571,R-HSA-5621480,Dectin-2 family,Homo sapiens
10572,R-HSA-5682113,Defective ABCA1 causes Tangier disease,Homo sapiens
10573,R-HSA-5682294,Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B,Homo sapiens
10574,R-HSA-5688399,Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3),Homo sapiens
10575,R-HSA-5683678,Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3),Homo sapiens
10576,R-HSA-5678520,Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2,Homo sapiens
10577,R-HSA-5678771,"Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1",Homo sapiens
10578,R-HSA-5683371,Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7),Homo sapiens
10579,R-HSA-5679001,Defective ABCC2 causes Dubin-Johnson syndrome,Homo sapiens
10580,R-HSA-5690338,Defective ABCC6 causes pseudoxanthoma elasticum (PXE),Homo sapiens
10581,R-HSA-5683177,Defective ABCC8 can cause hypoglycemias and hyperglycemias,Homo sapiens
10582,R-HSA-5678420,"Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia",Homo sapiens
10583,R-HSA-5684045,Defective ABCD1 causes adrenoleukodystrophy (ALD),Homo sapiens
10584,R-HSA-5683329,"Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)",Homo sapiens
10585,R-HSA-5679096,Defective ABCG5 causes sitosterolemia,Homo sapiens
10586,R-HSA-5679090,Defective ABCG8 causes gallbladder disease 4 and sitosterolemia,Homo sapiens
10587,R-HSA-5579031,Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD),Homo sapiens
10588,R-HSA-5579007,Defective ACY1 causes encephalopathy,Homo sapiens
10589,R-HSA-5578997,Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD),Homo sapiens
10590,R-HSA-4549380,Defective ALG1 causes ALG1-CDG (CDG-1k),Homo sapiens
10591,R-HSA-4551295,Defective ALG11 causes ALG11-CDG (CDG-1p),Homo sapiens
10592,R-HSA-4720489,Defective ALG12 causes ALG12-CDG (CDG-1g),Homo sapiens
10593,R-HSA-5633231,Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS),Homo sapiens
10594,R-HSA-4549349,Defective ALG2 causes ALG2-CDG (CDG-1i),Homo sapiens
10595,R-HSA-4720475,Defective ALG3 causes ALG3-CDG (CDG-1d),Homo sapiens
10596,R-HSA-4724289,Defective ALG6 causes ALG6-CDG (CDG-1c),Homo sapiens
10597,R-HSA-4724325,Defective ALG8 causes ALG8-CDG (CDG-1h),Homo sapiens
10598,R-HSA-4720454,Defective ALG9 causes ALG9-CDG (CDG-1l),Homo sapiens
10599,R-HSA-3359462,Defective AMN causes hereditary megaloblastic anemia 1,Homo sapiens
10600,R-HSA-5619099,"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",Homo sapiens
10601,R-HSA-9036092,Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI),Homo sapiens
10602,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,Homo sapiens
10603,R-HSA-5083635,Defective B3GALTL causes Peters-plus syndrome (PpS),Homo sapiens
10604,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,Homo sapiens
10605,R-HSA-3656244,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Homo sapiens
10606,R-HSA-4793953,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Homo sapiens
10607,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",Homo sapiens
10608,R-HSA-3371598,Defective BTD causes biotidinase deficiency,Homo sapiens
10609,R-HSA-9605310,Defective Base Excision Repair Associated with MUTYH,Homo sapiens
10610,R-HSA-9616334,Defective Base Excision Repair Associated with NEIL1,Homo sapiens
10611,R-HSA-9629232,Defective Base Excision Repair Associated with NEIL3,Homo sapiens
10612,R-HSA-9616333,Defective Base Excision Repair Associated with NTHL1,Homo sapiens
10613,R-HSA-9656249,Defective Base Excision Repair Associated with OGG1,Homo sapiens
10614,R-HSA-5083632,Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS),Homo sapiens
10615,R-HSA-3359485,Defective CD320 causes methylmalonic aciduria,Homo sapiens
10616,R-HSA-5678895,Defective CFTR causes cystic fibrosis,Homo sapiens
10617,R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",Homo sapiens
10618,R-HSA-3595172,Defective CHST3 causes SEDCJD,Homo sapiens
10619,R-HSA-3656225,Defective CHST6 causes MCDC1,Homo sapiens
10620,R-HSA-3595177,Defective CHSY1 causes TPBS,Homo sapiens
10621,R-HSA-5619060,Defective CP causes aceruloplasminemia (ACERULOP),Homo sapiens
10622,R-HSA-5688890,Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4),Homo sapiens
10623,R-HSA-5688849,Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5),Homo sapiens
10624,R-HSA-3359463,Defective CUBN causes hereditary megaloblastic anemia 1,Homo sapiens
10625,R-HSA-5579026,"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)",Homo sapiens
10626,R-HSA-5579017,Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4),Homo sapiens
10627,R-HSA-5579009,Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency),Homo sapiens
10628,R-HSA-5579028,Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5),Homo sapiens
10629,R-HSA-5579030,Defective CYP19A1 causes Aromatase excess syndrome (AEXS),Homo sapiens
10630,R-HSA-5579000,Defective CYP1B1 causes Glaucoma,Homo sapiens
10631,R-HSA-5579021,Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3),Homo sapiens
10632,R-HSA-5579010,"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)",Homo sapiens
10633,R-HSA-5579015,Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA),Homo sapiens
10634,R-HSA-5579004,Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4),Homo sapiens
10635,R-HSA-5578996,Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX),Homo sapiens
10636,R-HSA-5579014,Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A),Homo sapiens
10637,R-HSA-5579027,Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B),Homo sapiens
10638,R-HSA-5579011,"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)",Homo sapiens
10639,R-HSA-5579005,"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)",Homo sapiens
10640,R-HSA-5579013,"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)",Homo sapiens
10641,R-HSA-4755609,Defective DHDDS causes retinitis pigmentosa 59,Homo sapiens
10642,R-HSA-4755583,Defective DOLK causes DOLK-CDG (CDG-1m),Homo sapiens
10643,R-HSA-4549356,Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2,Homo sapiens
10644,R-HSA-4717374,Defective DPM1 causes DPM1-CDG (CDG-1e),Homo sapiens
10645,R-HSA-4719377,Defective DPM2 causes DPM2-CDG (CDG-1u),Homo sapiens
10646,R-HSA-4719360,Defective DPM3 causes DPM3-CDG (CDG-1o),Homo sapiens
10647,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",Homo sapiens
10648,R-HSA-3656237,Defective EXT2 causes exostoses 2,Homo sapiens
10649,R-HSA-5579019,Defective FMO3 causes Trimethylaminuria (TMAU),Homo sapiens
10650,R-HSA-5609977,Defective GALE can cause Epimerase-deficiency galactosemia (EDG),Homo sapiens
10651,R-HSA-5609976,Defective GALK1 can cause Galactosemia II (GALCT2),Homo sapiens
10652,R-HSA-5083636,Defective GALNT12 causes colorectal cancer 1 (CRCS1),Homo sapiens
10653,R-HSA-5083625,Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC),Homo sapiens
10654,R-HSA-5609978,Defective GALT can cause Galactosemia,Homo sapiens
10655,R-HSA-5619073,Defective GCK causes maturity-onset diabetes of the young 2 (MODY2),Homo sapiens
10656,R-HSA-5578999,Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD),Homo sapiens
10657,R-HSA-4085023,Defective GFPT1 causes CMSTA1,Homo sapiens
10658,R-HSA-9035968,Defective GGT1 causes Glutathionuria (GLUTH),Homo sapiens
10659,R-HSA-5579022,Defective GGT1 causes Glutathionuria (GLUTH),Homo sapiens
10660,R-HSA-3359457,Defective GIF causes intrinsic factor deficiency,Homo sapiens
10661,R-HSA-4085011,"Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2",Homo sapiens
10662,R-HSA-5579006,Defective GSS causes Glutathione synthetase deficiency (GSS deficiency),Homo sapiens
10663,R-HSA-3656234,Defective HEXA causes GM2G1,Homo sapiens
10664,R-HSA-3656248,Defective HEXB causes GM2G2,Homo sapiens
10665,R-HSA-5619056,Defective HK1 causes hexokinase deficiency (HK deficiency),Homo sapiens
10666,R-HSA-3371599,Defective HLCS causes multiple carboxylase deficiency,Homo sapiens
10667,R-HSA-9645722,Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function,Homo sapiens
10668,R-HSA-5083627,Defective LARGE causes MDDGA6 and MDDGB6,Homo sapiens
10669,R-HSA-5083630,Defective LFNG causes SCDO3,Homo sapiens
10670,R-HSA-3359458,Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF,Homo sapiens
10671,R-HSA-4793950,Defective MAN1B1 causes MRT15,Homo sapiens
10672,R-HSA-5579012,Defective MAOA causes Brunner syndrome (BRUNS),Homo sapiens
10673,R-HSA-5579024,Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD),Homo sapiens
10674,R-HSA-4793952,Defective MGAT2 causes MGAT2-CDG (CDG-2a),Homo sapiens
10675,R-HSA-3359475,Defective MMAA causes methylmalonic aciduria type cblA,Homo sapiens
10676,R-HSA-3359471,Defective MMAB causes methylmalonic aciduria type cblB,Homo sapiens
10677,R-HSA-3359474,Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC,Homo sapiens
10678,R-HSA-3359473,Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD,Homo sapiens
10679,R-HSA-4793954,Defective MOGS causes MOGS-CDG (CDG-2b),Homo sapiens
10680,R-HSA-4687000,Defective MPDU1 causes MPDU1-CDG (CDG-1f),Homo sapiens
10681,R-HSA-4043916,Defective MPI causes MPI-CDG (CDG-1b),Homo sapiens
10682,R-HSA-3359469,Defective MTR causes methylmalonic aciduria and homocystinuria type cblG,Homo sapiens
10683,R-HSA-3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,Homo sapiens
10684,R-HSA-3359478,Defective MUT causes methylmalonic aciduria mut type,Homo sapiens
10685,R-HSA-9608287,Defective MUTYH substrate binding,Homo sapiens
10686,R-HSA-9608290,Defective MUTYH substrate processing,Homo sapiens
10687,R-HSA-5545483,Defective Mismatch Repair Associated With MLH1,Homo sapiens
10688,R-HSA-5632928,Defective Mismatch Repair Associated With MSH2,Homo sapiens
10689,R-HSA-5632927,Defective Mismatch Repair Associated With MSH3,Homo sapiens
10690,R-HSA-5632968,Defective Mismatch Repair Associated With MSH6,Homo sapiens
10691,R-HSA-5632987,Defective Mismatch Repair Associated With PMS2,Homo sapiens
10692,R-HSA-4341670,Defective NEU1 causes sialidosis,Homo sapiens
10693,R-HSA-9630222,Defective NTHL1 substrate binding,Homo sapiens
10694,R-HSA-9630221,Defective NTHL1 substrate processing,Homo sapiens
10695,R-HSA-9657050,Defective OGG1 Localization,Homo sapiens
10696,R-HSA-9656255,Defective OGG1 Substrate Binding,Homo sapiens
10697,R-HSA-9656256,Defective OGG1 Substrate Processing,Homo sapiens
10698,R-HSA-5578998,Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD),Homo sapiens
10699,R-HSA-3560796,Defective PAPSS2 causes SEMD-PA,Homo sapiens
10700,R-HSA-5609974,Defective PGM1 causes PGM1-CDG (CDG1t),Homo sapiens
10701,R-HSA-4043911,Defective PMM2 causes PMM2-CDG (CDG-1a),Homo sapiens
10702,R-HSA-5083628,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",Homo sapiens
10703,R-HSA-5083633,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",Homo sapiens
10704,R-HSA-5083629,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",Homo sapiens
10705,R-HSA-4570571,Defective RFT1 causes RFT1-CDG (CDG-1n),Homo sapiens
10706,R-HSA-5619042,Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN),Homo sapiens
10707,R-HSA-5687868,Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF),Homo sapiens
10708,R-HSA-5619048,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",Homo sapiens
10709,R-HSA-5619104,Defective SLC12A1 causes Bartter syndrome 1 (BS1),Homo sapiens
10710,R-HSA-5619087,Defective SLC12A3 causes Gitelman syndrome (GS),Homo sapiens
10711,R-HSA-5619039,"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",Homo sapiens
10712,R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),Homo sapiens
10713,R-HSA-5619035,Defective SLC17A5 causes Salla disease (SD) and ISSD,Homo sapiens
10714,R-HSA-5619076,Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25),Homo sapiens
10715,R-HSA-5619067,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA),Homo sapiens
10716,R-HSA-5619062,Defective SLC1A3 causes episodic ataxia 6 (EA6),Homo sapiens
10717,R-HSA-5619111,Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1),Homo sapiens
10718,R-HSA-5619071,Defective SLC22A12 causes renal hypouricemia 1 (RHUC1),Homo sapiens
10719,R-HSA-5619066,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1),Homo sapiens
10720,R-HSA-5619053,Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP),Homo sapiens
10721,R-HSA-5619077,Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D),Homo sapiens
10722,R-HSA-5619055,Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI),Homo sapiens
10723,R-HSA-5619036,Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6),Homo sapiens
10724,R-HSA-3560792,Defective SLC26A2 causes chondrodysplasias,Homo sapiens
10725,R-HSA-5619085,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1),Homo sapiens
10726,R-HSA-5619046,Defective SLC26A4 causes Pendred syndrome (PDS),Homo sapiens
10727,R-HSA-5619108,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Homo sapiens
10728,R-HSA-5619063,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),Homo sapiens
10729,R-HSA-5619043,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1),Homo sapiens
10730,R-HSA-5619068,Defective SLC2A10 causes arterial tortuosity syndrome (ATS),Homo sapiens
10731,R-HSA-5619098,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),Homo sapiens
10732,R-HSA-5619047,Defective SLC2A9 causes hypouricemia renal 2 (RHUC2),Homo sapiens
10733,R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),Homo sapiens
10734,R-HSA-5619040,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),Homo sapiens
10735,R-HSA-5687583,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),Homo sapiens
10736,R-HSA-5619045,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),Homo sapiens
10737,R-HSA-5619097,Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH),Homo sapiens
10738,R-HSA-5619037,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Homo sapiens
10739,R-HSA-5663020,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Homo sapiens
10740,R-HSA-5619072,Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M),Homo sapiens
10741,R-HSA-5619083,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",Homo sapiens
10742,R-HSA-5619078,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C),Homo sapiens
10743,R-HSA-5579020,Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD),Homo sapiens
10744,R-HSA-5619041,Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG),Homo sapiens
10745,R-HSA-5619088,"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)",Homo sapiens
10746,R-HSA-5619113,Defective SLC3A1 causes cystinuria (CSNU),Homo sapiens
10747,R-HSA-5655799,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum),Homo sapiens
10748,R-HSA-5619049,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),Homo sapiens
10749,R-HSA-5619050,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",Homo sapiens
10750,R-HSA-5619054,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",Homo sapiens
10751,R-HSA-5656364,Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM),Homo sapiens
10752,R-HSA-5658208,Defective SLC5A2 causes renal glucosuria (GLYS1),Homo sapiens
10753,R-HSA-5619096,Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1),Homo sapiens
10754,R-HSA-5658471,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),Homo sapiens
10755,R-HSA-5619114,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),Homo sapiens
10756,R-HSA-5659729,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria,Homo sapiens
10757,R-HSA-5619079,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria,Homo sapiens
10758,R-HSA-5659735,Defective SLC6A19 causes Hartnup disorder (HND),Homo sapiens
10759,R-HSA-5619044,Defective SLC6A19 causes Hartnup disorder (HND),Homo sapiens
10760,R-HSA-5619109,Defective SLC6A2 causes orthostatic intolerance (OI),Homo sapiens
10761,R-HSA-5619081,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Homo sapiens
10762,R-HSA-5660724,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Homo sapiens
10763,R-HSA-5619089,Defective SLC6A5 causes hyperekplexia 3 (HKPX3),Homo sapiens
10764,R-HSA-5660862,Defective SLC7A7 causes lysinuric protein intolerance (LPI),Homo sapiens
10765,R-HSA-5660883,Defective SLC7A9 causes cystinuria (CSNU),Homo sapiens
10766,R-HSA-5619092,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",Homo sapiens
10767,R-HSA-5619052,Defective SLC9A9 causes autism 16 (AUTS16),Homo sapiens
10768,R-HSA-5619110,"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",Homo sapiens
10769,R-HSA-5619058,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",Homo sapiens
10770,R-HSA-5619095,"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",Homo sapiens
10771,R-HSA-4755579,Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ,Homo sapiens
10772,R-HSA-3656243,Defective ST3GAL3 causes MCT12 and EIEE15,Homo sapiens
10773,R-HSA-5579032,Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD),Homo sapiens
10774,R-HSA-3359454,Defective TCN2 causes hereditary megaloblastic anemia,Homo sapiens
10775,R-HSA-5578995,Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency),Homo sapiens
10776,R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),Homo sapiens
10777,R-HSA-5579002,Defective UGT1A1 causes hyperbilirubinemia,Homo sapiens
10778,R-HSA-5579016,Defective UGT1A4 causes hyperbilirubinemia,Homo sapiens
10779,R-HSA-5688031,Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS),Homo sapiens
10780,R-HSA-5688354,Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS),Homo sapiens
10781,R-HSA-3323169,Defects in biotin (Btn) metabolism,Homo sapiens
10782,R-HSA-3296469,Defects in cobalamin (B12) metabolism,Homo sapiens
10783,R-HSA-3296482,Defects in vitamin and cofactor metabolism,Homo sapiens
10784,R-HSA-1461973,Defensins,Homo sapiens
10785,R-HSA-4641257,Degradation of AXIN,Homo sapiens
10786,R-HSA-4641258,Degradation of DVL,Homo sapiens
10787,R-HSA-916853,Degradation of GABA,Homo sapiens
10788,R-HSA-5610780,Degradation of GLI1 by the proteasome,Homo sapiens
10789,R-HSA-5610783,Degradation of GLI2 by the proteasome,Homo sapiens
10790,R-HSA-195253,Degradation of beta-catenin by the destruction complex,Homo sapiens
10791,R-HSA-1614558,Degradation of cysteine and homocysteine,Homo sapiens
10792,R-HSA-1474228,Degradation of the extracellular matrix,Homo sapiens
10793,R-HSA-5467343,Deletions in the AMER1 gene destabilize the destruction complex,Homo sapiens
10794,R-HSA-5467345,Deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling,Homo sapiens
10795,R-HSA-4419969,Depolymerisation of the Nuclear Lamina,Homo sapiens
10796,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,Homo sapiens
10797,R-HSA-73927,Depurination,Homo sapiens
10798,R-HSA-73928,Depyrimidination,Homo sapiens
10799,R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Homo sapiens
10800,R-HSA-2022923,Dermatan sulfate biosynthesis,Homo sapiens
10801,R-HSA-3299685,Detoxification of Reactive Oxygen Species,Homo sapiens
10802,R-HSA-5688426,Deubiquitination,Homo sapiens
10803,R-HSA-1266738,Developmental Biology,Homo sapiens
10804,R-HSA-8935690,Digestion,Homo sapiens
10805,R-HSA-8963743,Digestion and absorption,Homo sapiens
10806,R-HSA-189085,Digestion of dietary carbohydrate,Homo sapiens
10807,R-HSA-192456,Digestion of dietary lipid,Homo sapiens
10808,R-HSA-69416,Dimerization of procaspase-8,Homo sapiens
10809,R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,Homo sapiens
10810,R-HSA-1643685,Disease,Homo sapiens
10811,R-HSA-3781860,Diseases associated with N-glycosylation of proteins,Homo sapiens
10812,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,Homo sapiens
10813,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,Homo sapiens
10814,R-HSA-5609975,Diseases associated with glycosylation precursor biosynthesis,Homo sapiens
10815,R-HSA-5687613,Diseases associated with surfactant metabolism,Homo sapiens
10816,R-HSA-5602358,Diseases associated with the TLR signaling cascade,Homo sapiens
