,nodesName,dbID
488,['Smooth Muscle Contraction'],445355
489,['Mitochondrial protein import'],1268020
490,['Protein localization'],9609507
491,['RHO GTPases Activate Rhotekin and Rhophilins'],5666185
492,['Formation of Senescence-Associated Heterochromatin Foci (SAHF)'],2559584
493,['Formation of apoptosome'],111458
494,['Formation of TC-NER Pre-Incision Complex'],6781823
495,['Regulation of RUNX3 expression and activity'],8941858
496,['DNA methylation'],5334118
497,['Amyloid fiber formation'],977225
498,['CDC6 association with the ORC:origin complex'],68689
499,['Cyclin A:Cdk2-associated events at S phase entry'],69656
500,['MASTL Facilitates Mitotic Progression'],2465910
501,['CTLA4 inhibitory signaling'],389513
502,"['Urea cycle', 'Urea synthesis']",70635
503,['p53-Dependent G1 DNA Damage Response'],69563
504,['Regulation by c-FLIP'],3371378
505,['CASP8 activity is inhibited'],5218900
506,['Presynaptic nicotinic acetylcholine receptors'],622323
507,['ZBP1(DAI) mediated induction of type I IFNs'],1606322
508,['Regulation of TLR by endogenous ligand'],5686938
509,['The IPAF inflammasome'],844623
510,['Interleukin-38 signaling'],9007892
511,['Dual incision in TC-NER'],6782135
512,['Negative regulation of MET activity'],6807004
513,['Formation of RNA Pol II elongation complex '],112382
514,['Activation of the TFAP2 (AP-2) family of transcription factors'],8866907
515,['MECP2 regulates neuronal receptors and channels'],9022699
516,['MECP2 regulates transcription of genes involved in GABA signaling'],9022927
517,['Signaling by FGFR2 in disease'],5655253
518,['Signaling by TGF-beta Receptor Complex in Cancer'],3304351
519,['Cytosolic sulfonation of small molecules'],156584
520,['Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol'],193368
521,['Synthesis of bile acids and bile salts via 27-hydroxycholesterol'],193807
522,"['Defective EXT1 causes exostoses 1, TRPS2 and CHDS']",3656253
523,['Defective GALNT12 causes colorectal cancer 1 (CRCS1)'],5083636
524,['Mucopolysaccharidoses'],2206281
525,['PCNA-Dependent Long Patch Base Excision Repair'],5651801
526,"['Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1']",5678771
527,['Acetylcholine regulates insulin secretion'],399997
528,['Defective SLC17A5 causes Salla disease (SD) and ISSD'],5619035
529,['Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)'],5619055
530,['Base Excision Repair'],73884
531,['Activation of Matrix Metalloproteinases'],1592389
532,['Molecules associated with elastic fibres'],2129379
533,"['PRC2 methylates histones and DNA', 'Methylation of Histones and DNA by Polycomb Repressive Complex 2 (PRC2)']",212300
534,['RNA Polymerase III Transcription'],74158
535,['Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)'],9026766
536,['Biosynthesis of maresin-like SPMs'],9027307
537,['Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives'],9027604
538,['Synthesis of active ubiquitin: roles of E1 and E2 enzymes'],8866652
539,['Metalloprotease DUBs'],5689901
540,['mRNA Editing'],75072
541,['SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs'],77588
542,['ARL13B-mediated ciliary trafficking of INPP5E'],5624958
543,"['NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ', 'LXRs regulate gene expression linked to gluconeogenesis ']",9632974
544,['Translocation of SLC2A4 (GLUT4) to the plasma membrane'],1445148
545,['Signaling by ERBB4'],1236394
546,['Mitochondrial Uncoupling'],166187
547,['RAF activation'],5673000
548,['Transcription-Coupled Nucleotide Excision Repair (TC-NER)'],6781827
549,['Transcriptional regulation by RUNX1'],8878171
550,['Transcriptional Regulation by E2F6'],8953750
551,"['Neurotoxicity of clostridium toxins', 'Clostridium neurotoxicity']",168799
552,['Eukaryotic Translation Initiation'],72613
553,['Estrogen-dependent gene expression'],9018519
554,['Pink/Parkin Mediated Mitophagy'],5205685
555,"['PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling']",6811558
556,['RAF/MAP kinase cascade'],5673001
557,['Repression of WNT target genes'],4641265
558,['RHO GTPases activate CIT'],5625900
559,['mTORC1-mediated signalling'],166208
560,['Melanin biosynthesis'],5662702
561,['Cargo concentration in the ER'],5694530
562,"['Regulated Necrosis', 'Programmed necrosis']",5218859
563,['Apoptosis'],109581
564,['Antimicrobial peptides'],6803157
565,['Lectin pathway of complement activation'],166662
566,['Interleukin-1 processing'],448706
567,"['HATs acetylate histones', 'Histone acetyltransferases acetylate histones']",3214847
568,['Regulation of expression of SLITs and ROBOs'],9010553
569,['L1CAM interactions'],373760
570,['Toxicity of botulinum toxin type A (BoNT/A)'],5250968
571,['Packaging of Eight RNA Segments'],168303
572,"['Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants']",9673767
573,['Signaling by FGFR3 fusions in cancer'],8853334
574,['Signaling by WNT in cancer'],4791275
575,['Loss of Function of SMAD4 in Cancer'],3304347
576,['Diseases associated with the TLR signaling cascade'],5602358
577,['DNA Replication'],69306
578,['Degradation of the extracellular matrix'],1474228
579,['Mitochondrial iron-sulfur cluster biogenesis'],1362409
580,['E3 ubiquitin ligases ubiquitinate target proteins'],8866654
581,['SUMOylation'],2990846
582,['MAPK family signaling cascades'],5683057
583,['MAPK6/MAPK4 signaling'],5687128
584,['Signaling by Erythropoietin'],9006335
585,"['NR1H2 & NR1H3 regulate gene expression linked to lipogenesis', 'LXRs regulate gene expression linked to lipogenesis']",9029558
586,['Mitochondrial calcium ion transport'],8949215
587,['Oligomerization of connexins into connexons'],190704
588,['Cargo recognition for clathrin-mediated endocytosis'],8856825
589,['PTEN Regulation'],6807070
590,['Transcriptional regulation by RUNX2'],8878166
591,['Regulation of RUNX1 Expression and Activity'],8934593
592,['Signaling by ERBB2 TMD/JMD mutants'],9665686
593,['Defective Base Excision Repair Associated with MUTYH'],9605310
594,['Collagen biosynthesis and modifying enzymes'],1650814
595,['Protein ubiquitination'],8852135
596,['Clathrin-mediated endocytosis'],8856828
597,['Golgi Cisternae Pericentriolar Stack Reorganization'],162658
598,['The role of GTSE1 in G2/M progression after G2 checkpoint'],8852276
599,['Downregulation of SMAD2/3:SMAD4 transcriptional activity'],2173795
600,['Downregulation of TGF-beta receptor signaling'],2173788
601,['Interleukin-2 signaling'],9020558
602,['Defensins'],1461973
603,['Transcriptional Regulation by VENTX'],8853884
604,['RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function'],8936459
605,['Activation of SMO'],5635838
606,['APC/C-mediated degradation of cell cycle proteins'],174143
607,['Regulation of MECP2 expression and activity'],9022692
608,['Signaling by ERBB2 in Cancer'],1227990
609,['Neurodegenerative Diseases'],8863678
610,['Interleukin-12 family signaling'],447115
611,['Deubiquitination'],5688426
612,"['Signaling by Hippo', 'Hippo signaling cascade']",2028269
613,['TGF-beta receptor signaling activates SMADs'],2173789
614,['Downstream TCR signaling'],202424
615,['Regulation by TREX1'],3248023
616,['Chromatin modifying enzymes'],3247509
617,['Interactions of Vpr with host cellular proteins'],176033
618,['Cellular hexose transport'],189200
619,['IRAK4 deficiency (TLR2/4)'],5603041
620,['IRAK4 deficiency (TLR5)'],5603037
621,['Fibronectin matrix formation'],1566977
622,['Oncogene Induced Senescence'],2559585
623,['Oxidative Stress Induced Senescence'],2559580
624,['RIPK1-mediated regulated necrosis'],5213460
625,['MAP3K8 (TPL2)-dependent MAPK1/3 activation'],5684264
626,['ROS and RNS production in phagocytes'],1222556
627,['Prolactin receptor signaling'],1170546
628,['PI3K/AKT Signaling in Cancer'],2219528
629,['Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects'],9632693
630,['Evasion of Oncogene Induced Senescence Due to p16INK4A Defects'],9630750
631,['Interleukin-10 signaling'],6783783
632,['Interleukin-4 and Interleukin-13 signaling'],6785807
633,['Peroxisomal protein import'],9033241
634,"['NR1H2 and NR1H3-mediated signaling', 'LXR-mediated signaling']",9024446
635,['Interleukin-7 signaling'],1266695
636,['RHO GTPase Effectors'],195258
637,['Generic Transcription Pathway'],212436
638,['Defective CFTR causes cystic fibrosis'],5678895
639,['Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)'],5687583
640,['Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF)'],5687868
641,['Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)'],5619045
642,['Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)'],5688890
643,['Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3)'],5688399
644,['Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)'],5688849
645,['Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3)'],5683678
646,['Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS)'],5688354
647,['Diseases associated with surfactant metabolism'],5687613
648,['Surfactant metabolism'],5683826
649,['FOXO-mediated transcription of cell cycle genes'],9617828
650,"['Biosynthesis of A2E, implicated in retinal degradation']",2466712
651,['Erythrocytes take up oxygen and release carbon dioxide'],1247673
652,['Glycerophospholipid biosynthesis'],1483206
653,['O2/CO2 exchange in erythrocytes'],1480926
654,"['Interleukin-3, Interleukin-5 and GM-CSF signaling']",512988
655,['APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway'],5649702
656,['Resolution of AP sites via the single-nucleotide replacement pathway'],110381
657,['Abasic sugar-phosphate removal via the single-nucleotide replacement pathway'],73930
658,['Fertilization'],1187000
659,['Chylomicron assembly'],8963888
660,['Amplification of signal from the kinetochores'],141424
661,['Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal'],141444
662,['Mitotic Spindle Checkpoint'],69618
663,['Diseases of Base Excision Repair'],9605308
664,['Initiation of Nuclear Envelope (NE) Reformation'],2995383
665,['Inactivation of APC/C via direct inhibition of the APC/C complex'],141430
666,['Recycling of bile acids and salts'],159418
667,['Presynaptic phase of homologous DNA pairing and strand exchange'],5693616
668,['Toxicity of botulinum toxin type G (BoNT/G)'],5250989
669,"['Defective CHST14 causes EDS, musculocontractural type', 'Defective CHST14 causes Ehlers-Danlos syndrome musculocontractural type']",3595174
670,['Diseases of DNA repair'],9675135
671,['Translesion synthesis by POLI'],5656121
672,['Regulation of gene expression by Hypoxia-inducible Factor'],1234158
673,['GLI proteins bind promoters of Hh responsive genes to promote transcription'],5635851
674,['Defective OGG1 Substrate Processing'],9656256
675,['RHO GTPases activate PKNs'],5625740
676,['Gap-filling DNA repair synthesis and ligation in TC-NER'],6782210
677,['Resolution of Abasic Sites (AP sites)'],73933
678,['SUMOylation of SUMOylation proteins'],4085377
679,['Removal of the Flap Intermediate from the C-strand'],174437
680,['Removal of the Flap Intermediate'],69166
681,['Processive synthesis on the lagging strand'],69183
682,['Lactose synthesis'],5653890
683,['Processive synthesis on the C-strand of the telomere'],174414
684,"['Inactivation, recovery and regulation of the phototransduction cascade']",2514859
685,['Defective MAN1B1 causes MRT15'],4793950
686,['Post-translational modification: synthesis of GPI-anchored proteins'],163125
687,['Mitochondrial tRNA aminoacylation'],379726
688,['G2/M DNA replication checkpoint'],69478
689,['Lagging Strand Synthesis'],69186
690,['Tolerance by Mtb to nitric oxide produced by macrophages'],1222538
691,['Gap-filling DNA repair synthesis and ligation in GG-NER'],5696397
692,['Telomere C-strand (Lagging Strand) Synthesis'],174417
693,['Defective NTHL1 substrate processing'],9630221
694,['LDL clearance'],8964038
695,['rRNA processing in the nucleus and cytosol'],8868773
696,['Stabilization of p53'],69541
697,['Asymmetric localization of PCP proteins'],4608870
698,['Lysine catabolism'],71064
699,['Glycogen breakdown (glycogenolysis)'],70221
700,['Keratan sulfate biosynthesis'],2022854
701,['Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)'],5358565
702,['DSCAM interactions'],376172
703,['Gamma-carboxylation of protein precursors'],159740
704,['HIV Transcription Initiation'],167161
705,['RNA Polymerase II Transcription Initiation'],75953
706,['Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)'],5083632
707,['POLB-Dependent Long Patch Base Excision Repair'],110362
708,['ECM proteoglycans'],3000178
709,['Interferon alpha/beta signaling'],909733
710,['PERK regulates gene expression'],381042
711,['Resolution of AP sites via the multiple-nucleotide patch replacement pathway'],110373
712,['Activation of ATR in response to replication stress'],176187
713,"['Glutamate binding, activation of AMPA receptors and synaptic plasticity']",399721
714,['Integration of viral DNA into host genomic DNA'],175567
715,['Pyrimidine biosynthesis'],500753
716,['Activation of the AP-1 family of transcription factors'],450341
717,['Activation of AMPA receptors'],399710
718,['Dectin-2 family'],5621480
719,['Telomere Extension By Telomerase'],171319
720,['Uptake and function of diphtheria toxin'],5336415
721,['Metabolism of vitamin K'],6806664
722,['Rev-mediated nuclear export of HIV RNA'],165054
723,['Butyrophilin (BTN) family interactions'],8851680
724,['IRE1alpha activates chaperones'],381070
725,['Signaling by Receptor Tyrosine Kinases'],9006934
726,['PCP/CE pathway'],4086400
727,['Costimulation by the CD28 family'],388841
728,['Glycogen metabolism'],8982491
729,['Gluconeogenesis'],70263
730,['TRAF6-mediated induction of TAK1 complex within TLR4 complex'],937072
731,['Transmission across Chemical Synapses'],112315
732,"['TICAM1,TRAF6-dependent induction of TAK1 complex']",9014325
733,['Creation of C4 and C2 activators'],166786
734,['Interleukin-1 family signaling'],446652
735,['Synaptic adhesion-like molecules'],8849932
736,['MET Receptor Activation'],6806942
737,['HIV Infection'],162906
738,"['Signaling by NOTCH', 'NOTCH Signaling Pathway']",157118
739,['Interleukin-12 signaling'],9020591
740,['Sphingolipid metabolism'],428157
741,['tRNA Aminoacylation'],379724
742,['rRNA processing'],72312
743,['Signaling by MST1'],8852405
744,['Signaling by FGFR3 in disease'],5655332
745,['Signaling by FGFR3 point mutants in cancer'],8853338
746,['Signaling by high-kinase activity BRAF mutants'],6802948
747,['Regulation of beta-cell development'],186712
748,['Signaling by ERBB2'],1227986
749,['NOTCH3 Intracellular Domain Regulates Transcription'],9013508
750,"['Intrinsic Pathway of Fibrin Clot Formation', 'Generation of intrinsic Factor X activating complex']",140837
751,['Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane'],83936
752,['Respiratory electron transport'],611105
753,['Interleukin-1 signaling'],9020702
754,['HDACs deacetylate histones'],3214815
755,['Defective SLC2A10 causes arterial tortuosity syndrome (ATS)'],5619068
756,['Common Pathway of Fibrin Clot Formation'],140875
757,['Infection with Mycobacterium tuberculosis'],9635486
758,['Suppression of phagosomal maturation'],9637687
759,['Escape of Mtb from the phagocyte'],9637679
760,['Phagocyte cell death caused by cytosolic Mtb'],9637698
761,['Suppression of apoptosis'],9635465
762,['Prevention of phagosomal-lysosomal fusion'],9636383
763,['Tolerance of reactive oxygen produced by macrophages'],1222387
764,['Blockage of phagosome acidification'],9636467
765,['Response of Mtb to phagocytosis'],9637690
766,['Cell redox homeostasis'],1222541
767,['Manipulation of host energy metabolism'],9636667
768,['Inhibition of membrane repair'],9635644
769,['Modulation by Mtb of host immune system'],9637628
770,['Inhibition of nitric oxide production'],9636249
771,['Antimicrobial action and antimicrobial resistance in Mtb'],9639775
772,['Latent infection - Other responses of Mtb to phagocytosis'],1222499
773,['Mtb iron assimilation by chelation'],1222449
774,['Suppression of autophagy'],9636569
775,['Infectious disease'],5663205
776,['CD209 (DC-SIGN) signaling'],5621575
777,['Purinergic signaling in leishmaniasis infection'],9660826
778,['Disease'],1643685
779,['Classical Kir channels'],1296053
780,['Phase 3 - rapid repolarisation'],5576890
781,['Phase 2 - plateau phase'],5576893
782,['Phase 1 - inactivation of fast Na+ channels'],5576894
783,['Phase 4 - resting membrane potential'],5576886
784,['Phase 0 - rapid depolarisation'],5576892
785,"['Glycogen storage disease type 0 (muscle GYS1)', 'GSD 0 (muscle)']",3828062
786,['Potassium Channels'],1296071
787,['Inwardly rectifying K+ channels'],1296065
788,['Ketone body metabolism'],74182
789,['Assembly of active LPL and LIPC lipase complexes'],8963889
790,['Growth hormone receptor signaling'],982772
791,['Transport of inorganic cations/anions and amino acids/oligopeptides'],425393
792,['Regulation of TP53 Activity through Methylation'],6804760
793,['O-glycosylation of TSR domain-containing proteins'],5173214
794,['Deactivation of the beta-catenin transactivating complex'],3769402
795,['Activation of BMF and translocation to mitochondria'],139910
796,['Diseases of cellular response to stress'],9675132
797,"['Formation of the ternary complex, and subsequently, the 43S complex']",72695
798,['Extracellular matrix organization'],1474244
799,['Branched-chain amino acid catabolism'],70895
800,['Signalling to p38 via RIT and RIN'],187706
801,['MECP2 regulates transcription of neuronal ligands'],9022702
802,['Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells'],210744
803,['ATF4 activates genes in response to endoplasmic reticulum  stress'],380994
804,"['Pentose phosphate pathway', 'Pentose phosphate pathway (hexose monophosphate shunt)']",71336
805,['Defective MGAT2 causes MGAT2-CDG (CDG-2a)'],4793952
806,"['Glycogen storage disease type IV (GBE1)', 'GSD IV', 'Andersen Disease']",3878781
807,['Keratinization'],6805567
808,['Binding and entry of HIV virion'],173107
809,['ER Quality Control Compartment (ERQC)'],901032
810,['Beta-oxidation of very long chain fatty acids'],390247
811,['Long-term potentiation'],9620244
812,['Metabolism of cofactors'],8978934
813,['Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer'],2173793
814,['Pre-NOTCH Processing in Golgi'],1912420
815,['Regulation of commissural axon pathfinding by SLIT and ROBO'],428542
816,['PP2A-mediated dephosphorylation of key metabolic factors'],163767
817,['PKA-mediated phosphorylation of key metabolic factors'],163358
818,['Regulation of actin dynamics for phagocytic cup formation'],2029482
819,['Integration of energy metabolism'],163685
820,['Regulation of cholesterol biosynthesis by SREBP (SREBF)'],1655829
821,['Linoleic acid (LA) metabolism'],2046105
822,['Hedgehog ligand biogenesis'],5358346
823,['CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde'],442729
824,['Abortive elongation of HIV-1 transcript in the absence of Tat'],167242
825,['Biosynthesis of DPAn-6 SPMs'],9025106
826,['Biosynthesis of DHA-derived SPMs'],9018677
827,['Biosynthesis of aspirin-triggered D-series resolvins'],9020265
828,['Biosynthesis of protectins'],9018681
829,['Biosynthesis of DHA-derived sulfido conjugates'],9026395
830,['Biosynthesis of D-series resolvins'],9018676
831,['Biosynthesis of E-series 18(R)-resolvins'],9023661
832,['Biosynthesis of E-series 18(S)-resolvins'],9018896
833,['Late Phase of HIV Life Cycle'],162599
834,['Free fatty acids regulate insulin secretion'],400451
835,['Activated NTRK2 signals through PLCG1'],9026527
836,['Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion'],434316
837,['Tat-mediated elongation of the HIV-1 transcript'],167246
838,['Digestion of dietary lipid'],192456
839,['Transcriptional regulation of granulopoiesis'],9616222
840,['Fatty acyl-CoA biosynthesis'],75105
841,"['Signaling by NTRK1 (TRKA)', 'NGF signalling via TRKA from the plasma membrane']",187037
842,['Wax and plasmalogen biosynthesis'],8848584
843,['Defective ABCD1 causes adrenoleukodystrophy (ALD)'],5684045
844,['FGFR3 ligand binding and activation'],190239
845,['Trafficking of AMPA receptors'],399719
846,['Free fatty acid receptors'],444209
847,['Wax biosynthesis'],9640463
848,['PTK6 promotes HIF1A stabilization'],8857538
849,['Peroxisomal lipid metabolism'],390918
850,['Pexophagy'],9664873
851,['Beta oxidation of myristoyl-CoA to lauroyl-CoA'],77285
852,['Beta oxidation of palmitoyl-CoA to myristoyl-CoA'],77305
853,['Killing mechanisms'],9664420
854,['RNA Polymerase II Pre-transcription Events'],674695
855,"['Carnitine metabolism', 'Import of palmitoyl-CoA into the mitochondrial matrix']",200425
856,['rRNA processing in the mitochondrion'],8868766
857,['p75 NTR receptor-mediated signalling'],193704
858,['Alpha-defensins'],1462054
859,['Digestion'],8935690
860,['Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA'],77310
861,['Netrin mediated repulsion signals'],418886
862,['Phospholipid metabolism'],1483257
863,['Glycosaminoglycan metabolism'],1630316
864,['Tachykinin receptors bind tachykinins'],380095
865,['Disinhibition of SNARE formation'],114516
866,['Regulation of insulin secretion'],422356
867,['Transcription of the HIV genome'],167172
868,['Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)'],5083625
869,['MPS VII - Sly syndrome'],2206292
870,['RNA Polymerase I Transcription'],73864
871,['tRNA processing in the mitochondrion'],6785470
872,['EGR2 and SOX10-mediated initiation of Schwann cell myelination'],9619665
873,['Advanced glycosylation endproduct receptor signaling'],879415
874,['Defective HLCS causes multiple carboxylase deficiency'],3371599
875,['The retinoid cycle in cones (daylight vision)'],2187335
876,"['Transport of vitamins, nucleosides, and related molecules']",425397
877,['Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)'],5619067
878,['Gene expression (Transcription)'],74160
879,['tRNA processing'],72306
880,['Lewis blood group biosynthesis'],9037629
881,['Fc epsilon receptor (FCERI) signaling'],2454202
882,['Beta-catenin phosphorylation cascade'],196299
883,"[""S45 mutants of beta-catenin aren't phosphorylated""]",5358751
884,['Defects in cobalamin (B12) metabolism'],3296469
885,['SUMO E3 ligases SUMOylate target proteins'],3108232
886,['Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA'],428359
887,['Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA'],450385
888,['Cohesin Loading onto Chromatin'],2470946
889,['Extension of Telomeres'],180786
890,['ERBB2 Activates PTK6 Signaling'],8847993
891,['SUMOylation of intracellular receptors'],4090294
892,"['Ethanol oxidation', 'Alcohol catabolism']",71384
893,['Extra-nuclear estrogen signaling'],9009391
894,['PTK6 Expression'],8849473
895,"['Regulation of glycolysis by fructose 2,6-bisphosphate metabolism']",9634600
896,['WNT5:FZD7-mediated leishmania damping'],9673324
897,['Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)'],5619049
898,['MAP2K and MAPK activation'],5674135
899,['Negative regulation of MAPK pathway'],5675221
900,['Anti-inflammatory response favouring Leishmania parasite infection'],9662851
901,"['MAPK1/MAPK3 signaling', 'ERK1/ERK2 pathway']",5684996
902,['Synthesis of IPs in the ER lumen'],1855231
903,['IPs transport between ER lumen and cytosol'],1855215
904,['IPs transport between ER lumen and nucleus'],1855156
905,['IPs transport between cytosol and ER lumen'],1855184
906,['VxPx cargo-targeting to cilium'],5620916
907,['Depolymerisation of the Nuclear Lamina'],4419969
908,['Regulation of PTEN gene transcription'],8943724
909,['Signaling by moderate kinase activity BRAF mutants'],6802946
910,['Ligand-receptor interactions'],5632681
911,['Signaling by ERBB2 KD Mutants'],9664565
912,['SMAD4 MH2 Domain Mutants in Cancer'],3311021
913,['Loss of Function of SMAD2/3 in Cancer'],3304349
914,['SMAD2/3 Phosphorylation Motif Mutants in Cancer'],3304356
915,['SMAD2/3 MH2 Domain Mutants in Cancer'],3315487
916,['Defective EXT2 causes exostoses 2'],3656237
917,['Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate'],2978092
918,['Interconversion of 2-oxoglutarate and 2-hydroxyglutarate'],880009
919,['TNFR1-induced NFkappaB signaling pathway'],5357956
920,['TNFR1-induced proapoptotic signaling'],5357786
921,['TNF signaling'],75893
922,['Assembly of the pre-replicative complex'],68867
923,['DNA Replication Pre-Initiation'],69002
924,['Pre-NOTCH Expression and Processing'],1912422
925,['Processing of Capped Intronless Pre-mRNA'],75067
926,['Pre-NOTCH Processing in the Endoplasmic Reticulum'],1912399
927,['E2F-enabled inhibition of pre-replication complex formation'],113507
928,['SLBP independent Processing of Histone Pre-mRNAs'],111367
929,['Processing of Capped Intron-Containing Pre-mRNA'],72203
930,['RNA Polymerase II Transcription Pre-Initiation And Promoter Opening'],73779
931,"['mRNA Splicing - Minor Pathway', 'U12 Dependent Splicing']",72165
932,['Presynaptic function of Kainate receptors'],500657
933,['Antigen processing-Cross presentation'],1236975
934,['Major pathway of rRNA processing in the nucleolus and cytosol'],6791226
935,['Inhibition of Host mRNA Processing and RNA Silencing'],168315
936,['Presynaptic depolarization and calcium channel opening'],112308
937,['Diseases associated with glycosylation precursor biosynthesis'],5609975
938,"['Caspase activation via Death Receptors in the presence of ligand', 'Ligand-dependent caspase activation']",140534
939,['Cross-presentation of soluble exogenous antigens (endosomes)'],1236978
940,['Cross-presentation of particulate exogenous antigens (phagosomes)'],1236973
941,['Class I MHC mediated antigen processing & presentation'],983169
942,['Regulation of gene expression in early pancreatic precursor cells'],210747
943,['Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding'],389958
944,['Prefoldin mediated transfer of substrate  to CCT/TriC'],389957
945,['mRNA Capping'],72086
946,"['mRNA Splicing - Major Pathway', 'pre-mRNA splicing', 'U2 Dependent Splicing']",72163
947,"['Antigen Presentation: Folding, assembly and peptide loading of class I MHC']",983170
948,['RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known'],8939243
949,['Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus'],159763
950,"['Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein']",446193
951,['Defective MUTYH substrate binding'],9608287
952,['XBP1(S) activates chaperone genes'],381038
953,['Class I peroxisomal membrane protein import'],9603798
954,['Defective MUTYH substrate processing'],9608290
955,['RAB geranylgeranylation'],8873719
956,['RAB GEFs exchange GTP for GDP on RABs'],8876198
957,['Unwinding of DNA'],176974
958,['Neurotransmitter release cycle'],112310
959,['RNA Polymerase I Transcription Termination'],73863
960,['Neurotransmitter receptors and postsynaptic signal transmission'],112314
961,['Neurotransmitter clearance'],112311
962,['HDL clearance'],8964011
963,['Plasma lipoprotein remodeling'],8963899
964,['Defective SLC1A3 causes episodic ataxia 6 (EA6)'],5619062
965,['SDK interactions'],373756
966,['NGF processing'],167060
967,['Astrocytic Glutamate-Glutamine Uptake And Metabolism'],210455
968,['Defective SLC6A5 causes hyperekplexia 3 (HKPX3)'],5619089
969,['snRNP Assembly'],191859
970,['Transmission across Electrical Synapses '],112307
971,['Electric Transmission Across Gap Junctions'],112303
972,['Neurexins and neuroligins'],6794361
973,['Deposition of new CENPA-containing nucleosomes at the centromere'],606279
974,['Gastrin-CREB signalling pathway via PKC and MAPK'],881907
975,['Assembly of the ORC complex at the origin of replication'],68616
976,['Plasma lipoprotein clearance'],8964043
977,['Eukaryotic Translation Elongation'],156842
978,['mRNA Editing: C to U Conversion'],72200
979,['Neuronal System'],112316
980,['Signaling by GPCR'],372790
981,"['Cell Cycle, Mitotic']",69278
982,['Beta defensins'],1461957
983,['Rhesus blood group biosynthesis'],9037628
984,['Protein repair'],5676934
985,['Regulation of TP53 Expression and Degradation'],6806003
986,"['POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation']",2892245
987,"['POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation']",2892247
988,['Signaling by cytosolic PDGFRA and PDGFRB fusion proteins'],9673766
989,['Signaling by PDGFRA extracellular domain mutants'],9673770
990,['Signaling by membrane-tethered fusions of PDGFRA or PDGFRB'],9673768
991,['Signaling by Ligand-Responsive EGFR Variants in Cancer'],5637815
992,['Programmed Cell Death'],5357801
993,['Intracellular signaling by second messengers'],9006925
994,['Events associated with phagocytolytic activity of PMN cells'],8941413
995,['Transcriptional regulation of white adipocyte differentiation'],381340
996,['Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)'],5619081
997,['Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)'],5660724
998,['Acetylation'],156582
999,['Methylation'],156581
1000,['Amino Acid conjugation'],156587
1001,['Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)'],5579021
1002,['Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)'],5579015
